1	prenotato all'ultimo secondo .. camere in stile moderno e bagno molto alla moda , colazione abbondante e varia , pulizia 7/10 ( quindi voto distinto ) anke se come al solito un po di polvere c'è sempre ... facile da raggiungere .. consiglio vivamente questa struttura !
1	bella struttura , moderna e bel collocata , a pochi passi da piaza della repubblica , bel collegata al centro storico e anche nel cuore della movida ( c.so como , brera , moscova ) . le camere sono nuove , dotate di tutti i confort .
1	"la posizione è ottima a pochi mt dal mare , dalla stazione e dal centro di salerno . purtroppo è un po trascurata la struttura . forse perché anche non è periodo estivo e di pieno turismo perché da un "" gran hotel "" ci si aspetta qualcosa in più ."
0	sono in gita scolastica e ve lo sconsiglio vivamente ! le camere sono sporchissime e la pulizia é pessima ! non si mangia bene e le stanze sono piccole e fatiscenti . c'é polvere ovunque , la moquet é sporca e piena di aloni . se ne avete la possibilità chiedete il quinto piano ; a mio avviso é il migliore tra i peggiori .
0	ho soggiornato in questa struttura per due giorni.di positivo senza dubbio la posizione fronte mare e la professionalità del personale . da migliorare sicuramente , per un quattro stelle , la qualità del cibo , assolutamente insufficiente , la scarsa cura nell'arredo della stanza e del bagno la cui porta , alla base , era rigonfia in più punti .
1	hotel buono , un po ' lontano dal centro ( cosa specificata durante la prenotazione ) offre il parcheggio nel garage . camera ampia , pulita , con balcone . il bagno anche esso spazioso e pulito . forse non è proprio un 4 stelle , ma rapporto qualità prezzo veramente ottimo . consigliato per chi viene in auto .
1	siamo stati in questo hotel al centro di milano per un convegno di lavoro ci hanno accolto in maniera eccellente , il cibo era di ottima qualità e le camere erano sempre in perfette condizioni . ci ritornerò sicuramente anche in altre occasioni
1	sono stato un weekend per le luminarie di salerno e ho dormito al grand hotel salerno : stanze molto belle , particolare la divisione della stanza con gli armadi trasparenti . le stanze ed i bagni sono molto grandi . la sorpresa positiva è stato il ristorante dell'albergo ... veramente ottimo ... non me lo aspettavo . la posizione è ottima ... peccato per qualche piccolo intervento di manutenzione che andrebbe fatto ... per il resto tutto ok !
1	la location è decisamente unica e panoramica , ma allo stesso tempo funzionale e di facile accesso . dalla stanza bastano pochi minuti e tramite un altrettanto panoramico ascensore , si accede alla spiaggia , spaziosa e vicina al mare . peccato che ormai l'acqua non è più quella di ventanni fà ! ! ! cortesi e disponibili alla reception , cibo di buona qualità . da ritornarci appena possibile ... :-)
1	abbiamo festeggiato il compleanno di mio marito a venezia .. hotel da fare diversi lavoretti , nel complesso bene pulito , e silenzioso ! il nostro materasso . buono ! colazione abbondante . personale gentile
