1	pokud budete někdy na praze 1 mít hlad , tak určitě zajděte sem . za rozumnou cenu zde dostanete skvělá thajská jídla . ať už jde o kari , nudle a nebo soté , tak an všem si skvěle pochutnáte .
1	byli jsme zde na pozdějším obědě . interiér byl velmi pěkný , moderní . obsluha ochotná , jídlo výborné .
1	naše první návštěva byla celkem neplánovaná . vše bylo v pořádku , prostředí velmi krásné a příjemné . ale příště raději bez dětí . personál se na to moc netváří :-)
1	nádherné prostředí a skvělý přístup zaměstnanců . ocenili jsme profesionální přístup a vstřícnost k nečekaným dětským hostům . :-) jídlo bylo vynikající , doplňované příjemným vysvětlením a milou péčí . děkujeme a rádi se vrátíme !
1	byli jsme s přítelkyní na večeři a na výborném víně . obsluha taky výborný . k jídlu jsme si dali výborne tagliatelle se špenátem a lososem se smetanovo-citronovou pěnou výborna prace . kuchařovi děkujeme . urcite doporučuji . a něco málo k vínu vynikající z česky zrajicich hroznů . rulandské bíle z vinic vávry a vlajkovou lodí je toto víno z roku 2015 .
1	nemohu chvalit . cekala jsem vice.obsluha vlazna a maslicko v obalu na stole nooo nic extra tedy . mnoho povyku pro nic .
1	moc nám chutnalo - hlavně quesadilla a caipirinha . líbil se nám styl , do kterého je celá restaurace autenticky sladěna . jen to parkování není úplně ideální ...
1	výborná restaurace , dlouho jsem si nepochutnala jako tady . obsluha je milá , těstoviny jsou čerstvé . prostě pravá italská .
0	po několikáté návštěvě i přes opětovnou výtku na nedostatečnou míru , stejně jsme dostali podmírová piva . a co nás překvapilo , nemile , tak drzé připomínky obsluhy . zkusíme štěstí příště . pokud to opět nevyjde , tak je třeba osloví nabídka na ukončení pracovního poměru , pokud obsluhu práce opravdu tak nebaví , jak dávají svým přístupem k zákazníkům .
1	restaurace v suterénu , na opravdu rychlý oběd je dobrá . sushi i sashimi je chutné a cenově výhodné . na večeři si to tu neumím představit . restaurace je čistá , obsluha ochotná a hlavně rychlá .
1	bohužel , tato restaurace již skončila , byla to příjemná pizzerie s 3d obrazen hlediště divadla pod palmovkou a modelem libeňského zámečku v zadní části , kde byl dětský koutek
1	velmi dobré jídlo , příjemná obsluha a krásné prostředí pro slavnostní oběd nebo večeři .. . ceny trošku vyšší , kvalita dobrá !
1	dobré jídlo za rozumnou cenu v nekuřáckém prostředí . obsluha naprosto bez problémů . stojí za návštěvu .
1	celkově příjemný zážitek , výborné jídlo od předkrmu až po dezert s kávou a pralinkami , velmi ochotná obsluha a jako bonus výhled na celou prahu . určitě se sem ráda vrátím , ať už s rodinou v létě na snídani na terase nebo na romantickou večeři ve dvou .
1	rychlá a příjemná obsluha , jídlo na jedničku s hvězdičkou ( měli jsme royal bacon cheese burger a serious blue cheese burger , vyzkoušeli jsme i truffle fries ) , ceny přijatelné . doporučuji všem :)
1	prijemne prostredi , menu , ze ktereho si vybere vegetarian i jedlik masa , prijemna a profesionalni obsluha a taky detsky koutek a bezbarierovy pristup . neni , co by si clovek mohl prat vic ! prijdu zase a moc rada !
